snapshot,Wind,PV
price,8,14
2011-06-21 00:00:00,40,0
2011-06-21 00:15:00,17.375,0
2011-06-21 00:30:00,19.25,0
2011-06-21 00:45:00,5.625,0
2011-06-21 01:00:00,14.5,0
2011-06-21 01:15:00,31.625,0
2011-06-21 01:30:00,31.75,0
2011-06-21 01:45:00,61.75,0
2011-06-21 02:00:00,57.5,0
2011-06-21 02:15:00,69.25,0
2011-06-21 02:30:00,73.25,0
2011-06-21 02:45:00,78.25,0
2011-06-21 03:00:00,86,0
2011-06-21 03:15:00,64.625,0
2011-06-21 03:30:00,48.75,0
2011-06-21 03:45:00,56,0
2011-06-21 04:00:00,38,0
2011-06-21 04:15:00,45,0
2011-06-21 04:30:00,30.75,0
2011-06-21 04:45:00,27.875,0
2011-06-21 05:00:00,35.75,0
2011-06-21 05:15:00,30.75,0.22222222
2011-06-21 05:30:00,26.75,0.88888889
2011-06-21 05:45:00,26.875,2.22222222
2011-06-21 06:00:00,51,4.88888889
2011-06-21 06:15:00,82.75,6.11111111
2011-06-21 06:30:00,94.5,8.33333333
2011-06-21 06:45:00,102.25,12.2222222
2011-06-21 07:00:00,85.75,13.8888889
2011-06-21 07:15:00,78.125,13.3333333
2011-06-21 07:30:00,98.25,17.7777778
2011-06-21 07:45:00,133.125,20
2011-06-21 08:00:00,179.75,8.88888889
2011-06-21 08:15:00,104.125,8.88888889
2011-06-21 08:30:00,88.75,17.7777778
2011-06-21 08:45:00,86.875,30.5555556
2011-06-21 09:00:00,80.75,36.1111111
2011-06-21 09:15:00,118.625,27.7777778
2011-06-21 09:30:00,81.5,20
2011-06-21 09:45:00,89.5,30.5555556
2011-06-21 10:00:00,148.5,25
2011-06-21 10:15:00,98.625,35.5555556
2011-06-21 10:30:00,155.75,53.8888889
2011-06-21 10:45:00,169,47.7777778
2011-06-21 11:00:00,178.5,94.4444444
2011-06-21 11:15:00,138,88.8888889
2011-06-21 11:30:00,113.25,88.8888889
2011-06-21 11:45:00,94.75,88.8888889
2011-06-21 12:00:00,139.75,26.1111111
2011-06-21 12:15:00,190.5,25.5555556
2011-06-21 12:30:00,71.75,53.3333333
2011-06-21 12:45:00,64.75,77.7777778
2011-06-21 13:00:00,97.5,88.8888889
2011-06-21 13:15:00,74,94.4444444
2011-06-21 13:30:00,74.5,122.222222
2011-06-21 13:45:00,62.875,66.6666667
2011-06-21 14:00:00,58,172.222222
2011-06-21 14:15:00,75.125,138.888889
2011-06-21 14:30:00,52.5,94.4444444
2011-06-21 14:45:00,60,88.8888889
2011-06-21 15:00:00,37.75,66.6666667
2011-06-21 15:15:00,22.25,38.3333333
2011-06-21 15:30:00,22,52.7777778
2011-06-21 15:45:00,29.875,105.555556
2011-06-21 16:00:00,26.5,133.333333
2011-06-21 16:15:00,28.25,150
2011-06-21 16:30:00,31.75,61.1111111
2011-06-21 16:45:00,63.75,111.111111
2011-06-21 17:00:00,43.5,72.2222222
2011-06-21 17:15:00,62.625,55
2011-06-21 17:30:00,67.25,30
2011-06-21 17:45:00,65.5,9.44444444
2011-06-21 18:00:00,49.25,21.6666667
2011-06-21 18:15:00,70.375,15.5555556
2011-06-21 18:30:00,98.75,21.6666667
2011-06-21 18:45:00,77.5,23.8888889
2011-06-21 19:00:00,54.25,19.4444444
2011-06-21 19:15:00,59.25,16.6666667
2011-06-21 19:30:00,68.25,15
2011-06-21 19:45:00,51.625,10
2011-06-21 20:00:00,24.5,4.88888889
2011-06-21 20:15:00,18.875,1.33333333
2011-06-21 20:30:00,9.75,0.22222222
2011-06-21 20:45:00,14.625,0
2011-06-21 21:00:00,5,0
2011-06-21 21:15:00,1.75,0
2011-06-21 21:30:00,0,0
2011-06-21 21:45:00,0,0
2011-06-21 22:00:00,0,0
2011-06-21 22:15:00,0.25,0
2011-06-21 22:30:00,4,0
2011-06-21 22:45:00,7.875,0
2011-06-21 23:00:00,15.75,0
2011-06-21 23:15:00,21.875,0
2011-06-21 23:30:00,54,0
2011-06-21 23:45:00,96,0
